,n_threads,time
0,1,58.47384285926819
1,6,15.97507119178772
2,11,13.66539192199707
3,16,14.63588285446167
4,30,39.222137212753296
5,50,17.612414836883545
6,70,22.462671279907227
7,90,23.840029001235962
